match_no,Innings,over,ball,batsman,batting_hand,bowler,bowling_hand,bowling_type,pace_or_spin,runs_off_bat,extras,is_wicket,Wicket_type,is_boundary,team1_batting_first,team2_batting_second,team1_score,team1_wickets,team2_score,team2_wickets,extra_type,
17,1,7,3,T Singh,Right,K Shashi Kumar,Right,offspin,spin,1,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,7,4,Rohit K,Right,K Shashi Kumar,Right,offspin,spin,0,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,7,5,Rohit K,Right,K Shashi Kumar,Right,offspin,spin,1,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,7,6,T Singh,Right,K Shashi Kumar,Right,offspin,spin,1,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,8,1,T Singh,Right,S Hatti,Right,fast,pace,0,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,8,2,T Singh,Right,S Hatti,Right,fast,pace,4,0,FALSE,,TRUE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,8,3,T Singh,Right,S Hatti,Right,fast,pace,1,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,8,4,Rohit K,Right,S Hatti,Right,fast,pace,0,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,8,5,Rohit K,Right,S Hatti,Right,fast,pace,4,0,FALSE,,TRUE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,8,6,Rohit K,Right,S Hatti,Right,fast,pace,0,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,9,1,T Singh,Right,P Shekawat,Right,fast,pace,1,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,9,2,Rohit K,Right,P Shekawat,Right,fast,pace,0,0,TRUE,Caught,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,9,3,A Gautam,Left,P Shekawat,Right,fast,pace,0,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,9,4,A Gautam,Left,P Shekawat,Right,fast,pace,1,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,9,5,T Singh,Right,P Shekawat,Right,fast,pace,1,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,9,6,A Gautam,Left,P Shekawat,Right,fast,pace,1,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,10,1,A Gautam,Left,P Dubey,Right,fast,pace,1,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,10,2,T Singh,Right,P Dubey,Right,fast,pace,4,0,FALSE,,TRUE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,10,3,T Singh,Right,P Dubey,Right,fast,pace,1,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,10,4,A Gautam,Left,P Dubey,Right,fast,pace,0,0,TRUE,Caught&Bowled,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,10,5,A Joshi,Right,P Dubey,Right,fast,pace,0,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,10,6,A Joshi,Right,P Dubey,Right,fast,pace,1,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,11,1,A Joshi,Right,P Shekawat,Right,fast,pace,0,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,11,2,A Joshi,Right,P Shekawat,Right,fast,pace,0,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,11,3,A Joshi,Right,P Shekawat,Right,fast,pace,0,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,11,4,A Joshi,Right,P Shekawat,Right,fast,pace,0,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,11,5,A Joshi,Right,P Shekawat,Right,fast,pace,1,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,11,6,T Singh,Right,P Shekawat,Right,fast,pace,1,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,12,1,T Singh,Right,L Kaushal,Right,fast,pace,1,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,12,2,A Joshi,Right,L Kaushal,Right,fast,pace,1,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,12,3,T Singh,Right,L Kaushal,Right,fast,pace,1,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,12,4,A Joshi,Right,L Kaushal,Right,fast,pace,1,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,12,5,T Singh,Right,L Kaushal,Right,fast,pace,0,0,TRUE,Caught,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,12,6,H Raj,Left,L Kaushal,Right,fast,pace,1,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,13,1,H Raj,Left,K Shashi Kumar,Right,offspin,spin,0,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,13,2,H Raj,Left,K Shashi Kumar,Right,offspin,spin,1,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,13,3,A Joshi,Right,K Shashi Kumar,Right,offspin,spin,2,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,13,4,A Joshi,Right,K Shashi Kumar,Right,offspin,spin,0,0,TRUE,Caught,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,13,5,A Doddamani,Right,K Shashi Kumar,Right,offspin,spin,0,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,13,6,A Doddamani,Right,K Shashi Kumar,Right,offspin,spin,1,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,14,1,A Doddamani,Right,P Shekawat,Right,fast,pace,1,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,14,2,H Raj,Left,P Shekawat,Right,fast,pace,1,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,14,3,A Doddamani,Right,P Shekawat,Right,fast,pace,0,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
